Lyman transitions for Ortho H2 X(0,1) -> B(v,0)						
Final v	A_ul (inv sec)	Wavenumber (inv cm)	Energy (eV)	f_lu	f_diss	f_total
0	9.30E+06	90085.01	11.169	5.73E-04	1.58E-06	9.05E-10
1	3.30E+07	91403.32	11.332	1.97E-03	3.25E-07	6.41E-10
2	6.70E+07	92685.01	11.491	3.90E-03	1.18E-05	4.61E-08
3	1.00E+08	93931.5	11.646	5.66E-03	1.31E-04	7.41E-07
4	1.40E+08	95144.7	11.796	7.73E-03	1.33E-03	1.02E-05
5	1.60E+08	96324.37	11.942	8.62E-03	1.78E-02	1.53E-04
6	1.70E+08	97472.12	12.085	8.94E-03	3.12E-02	2.79E-04
7	1.70E+08	98587.65	12.223	8.74E-03	2.07E-01	1.81E-03
8	1.70E+08	99671.16	12.357	8.55E-03	3.02E-01	2.58E-03
9	1.60E+08	100724.34	12.488	7.88E-03	4.13E-01	3.26E-03
10	1.40E+08	101746.58	12.615	6.76E-03	4.10E-01	2.77E-03
11	1.20E+08	102738.78	12.738	5.68E-03	4.06E-01	2.31E-03
12	1.10E+08	103701.04	12.857	5.11E-03	5.23E-01	2.67E-03
13	9.30E+07	104634.52	12.973	4.24E-03	5.11E-01	2.17E-03
14	7.80E+07	105540.5	13.085	3.50E-03	5.40E-01	1.89E-03
15	6.60E+07	106416.32	13.193	2.91E-03	5.60E-01	1.63E-03
16	5.50E+07	107265.66	13.299	2.39E-03	5.56E-01	1.33E-03
17	4.60E+07	108087.92	13.401	1.97E-03	6.06E-01	1.19E-03
18	3.80E+07	108883.57	13.499	1.60E-03	6.11E-01	9.79E-04
19	3.20E+07	109653.08	13.595	1.33E-03	6.36E-01	8.46E-04
