Lyman transitions for Para H2 X(0,0) -> B(v, 1)						
Final v	A_ul (inv sec)	Wavenumber (inv cm)	Energy (eV)	f_lu	f_diss	f_total
0.00	3.00E+06	90,242.36	11.188	1.66E-03	1.49E-06	2.46E-09
1.00	1.10E+07	91,558.74	11.351	5.90E-03	3.48E-07	2.05E-09
2.00	2.20E+07	92,838.45	11.510	1.15E-02	1.20E-05	1.38E-07
3.00	3.50E+07	94,083.81	11.665	1.78E-02	1.51E-04	2.68E-06
4.00	4.70E+07	95,295.51	11.815	2.33E-02	1.28E-03	2.98E-05
5.00	5.60E+07	96,474.38	11.961	2.71E-02	1.86E-02	5.04E-04
6.00	6.10E+07	97,620.29	12.103	2.88E-02	3.33E-02	9.59E-04
7.00	6.40E+07	98,735.16	12.241	2.95E-02	2.05E-01	6.06E-03
8.00	5.90E+07	99,818.26	12.375	2.66E-02	3.12E-01	8.31E-03
9.00	5.90E+07	100,869.90	12.506	2.61E-02	4.13E-01	1.08E-02
10.00	4.80E+07	101,891.40	12.632	2.08E-02	4.10E-01	8.52E-03
11.00	4.70E+07	102,882.25	12.755	2.00E-02	4.07E-01	8.13E-03
12.00	3.20E+07	103,844.59	12.875	1.33E-02	5.20E-01	6.94E-03
13.00	3.50E+07	104,776.54	12.990	1.43E-02	5.10E-01	7.31E-03
14.00	3.10E+06	105,689.44	13.103	1.25E-03	3.48E-01	4.34E-04
15.00	2.40E+07	106,556.97	13.211	9.51E-03	5.60E-01	5.32E-03
16.00	2.70E+07	107,404.52	13.316	1.05E-02	5.51E-01	5.80E-03
17.00	1.60E+07	108,227.25	13.418	6.14E-03	6.06E-01	3.73E-03
18.00	1.60E+07	109,021.56	13.516	6.05E-03	6.09E-01	3.69E-03
