Lyman transition for Ortho H2 X(0,1) -> B(v,2)						
Final v	A_ul (inv sec)	Wavenumber (inv cm)	Energy (eV)	f_lu	f_diss	f_total
0	3.50E+06	90201.18	11.183	1.07E-03	1.47E-06	1.58E-09
1	1.30E+07	91513.72	11.346	3.88E-03	3.63E-07	1.41E-09
2	2.70E+07	92790.49	11.504	7.83E-03	1.23E-05	9.60E-08
3	4.20E+07	94032.66	11.658	1.19E-02	1.95E-04	2.32E-06
4	5.60E+07	95241.38	11.808	1.54E-02	1.22E-03	1.88E-05
5	6.70E+07	96418.23	11.954	1.80E-02	2.01E-02	3.62E-04
6	7.50E+07	97562.25	12.096	1.97E-02	3.90E-02	7.67E-04
7	8.00E+07	98674.17	12.234	2.05E-02	2.00E-01	4.11E-03
8	7.30E+07	99755.3	12.368	1.83E-02	3.33E-01	6.10E-03
9	7.40E+07	100805.08	12.498	1.82E-02	4.12E-01	7.50E-03
10	5.70E+07	101825.45	12.624	1.37E-02	4.10E-01	5.63E-03
11	5.90E+07	102813.86	12.747	1.39E-02	4.11E-01	5.73E-03
12	3.10E+07	103776.8	12.866	7.19E-03	5.08E-01	3.66E-03
13	4.30E+07	104705.02	12.981	9.80E-03	5.07E-01	4.97E-03
14	8.80E+07	105598.75	13.092	1.97E-02	4.50E-01	8.87E-03
15	3.00E+07	106482.47	13.202	6.61E-03	5.58E-01	3.69E-03
16	3.50E+07	107326.91	13.306	7.59E-03	5.46E-01	4.15E-03
17	1.90E+07	108150.13	13.408	4.06E-03	6.06E-01	2.46E-03
18	2.10E+07	108941.99	13.507	4.42E-03	6.06E-01	2.68E-03
